# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -4.9895
# k_min, k_max      =     0.0000    2.0578
# E_min, E_max      =   -17.0174  150.9532
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -14.859500
      0.021732    -14.857900
      0.043464    -14.861500
      0.065195    -14.923600
      0.086927    -15.023300
      0.108659    -15.146800
      0.130391    -15.285000
      0.152123    -15.431100
      0.173854    -15.580200
      0.195586    -15.728700
      0.217318    -15.874100
      0.239050    -16.014600
      0.260782    -16.148800
      0.282513    -16.275700
      0.304245    -16.394400
      0.325977    -16.504300
      0.347709    -16.604600
      0.369440    -16.694900
      0.391172    -16.774700
      0.412904    -16.843700
      0.434636    -16.901500
      0.456368    -16.947700
      0.478099    -16.981900
      0.499831    -17.003900
      0.521563    -17.014600
      0.543295    -17.017400
      0.564206    -17.014900
      0.585118    -17.005500
      0.606029    -16.986300
      0.626941    -16.955800
      0.647852    -16.914000
      0.668763    -16.861000
      0.689675    -16.797200
      0.710586    -16.722900
      0.731498    -16.638200
      0.752409    -16.543300
      0.773321    -16.438500
      0.794232    -16.323800
      0.815143    -16.199400
      0.836055    -16.065600
      0.856966    -16.094300
      0.877878    -16.226100
      0.898789    -16.348500
      0.919701    -16.461100
      0.940612    -16.563900
      0.961523    -16.656700
      0.982435    -16.739200
      1.003346    -16.811400
      1.024258    -16.872900
      1.045169    -16.923600
      1.066081    -16.963100
      1.086992    -16.991200
      1.107903    -17.008200
      1.128815    -17.015900
      1.149726    -17.017300
      1.170638    -17.013600
      1.192818    -17.010300
      1.214998    -16.998300
      1.237177    -16.975100
      1.259357    -16.939600
      1.281537    -16.891700
      1.303717    -16.831700
      1.325897    -16.760100
      1.348077    -16.677100
      1.370257    -16.583100
      1.392437    -16.478500
      1.411448    -16.516000
      1.430460    -16.545600
      1.449471    -16.567100
      1.468482    -16.580600
      1.487494    -16.585900
      1.506505    -16.583200
      1.525516    -16.572200
      1.544528    -16.553200
      1.563539    -16.526000
      1.582551    -16.490700
      1.601562    -16.447300
      1.620573    -16.395900
      1.639585    -16.336300
      1.658596    -16.268700
      1.677607    -16.192900
      1.696619    -16.108900
      1.715630    -16.016800
      1.734641    -15.916800
      1.753653    -15.995100
      1.772664    -16.119600
      1.791675    -16.236900
      1.810687    -16.346700
      1.829698    -16.448900
      1.848710    -16.543200
      1.867721    -16.629400
      1.886732    -16.707500
      1.905744    -16.777100
      1.924755    -16.838100
      1.943766    -16.890400
      1.962778    -16.933700
      1.981789    -16.967700
      2.000800    -16.992300
      2.019812    -17.007800
      2.038823    -17.015400
      2.057834    -17.017400


      0.000000    -14.855800
      0.021732    -14.857900
      0.043464    -14.855400
      0.065195    -14.848400
      0.086927    -14.836700
      0.108659    -14.820100
      0.130391    -14.798300
      0.152123    -14.770800
      0.173854    -14.737400
      0.195586    -14.697700
      0.217318    -14.651300
      0.239050    -14.598000
      0.260782    -14.537700
      0.282513    -14.470100
      0.304245    -14.395300
      0.325977    -14.313000
      0.347709    -14.223200
      0.369440    -14.125800
      0.391172    -14.020900
      0.412904    -13.908400
      0.434636    -13.788500
      0.456368    -13.661300
      0.478099    -13.527300
      0.499831    -13.386700
      0.521563    -13.240300
      0.543295    -13.097500
      0.564206    -13.341100
      0.585118    -13.587700
      0.606029    -13.827600
      0.626941    -14.060500
      0.647852    -14.286200
      0.668763    -14.504400
      0.689675    -14.714800
      0.710586    -14.917100
      0.731498    -15.111300
      0.752409    -15.297100
      0.773321    -15.474300
      0.794232    -15.642800
      0.815143    -15.802400
      0.836055    -15.952800
      0.856966    -15.922300
      0.877878    -15.769900
      0.898789    -15.608500
      0.919701    -15.438100
      0.940612    -15.259100
      0.961523    -15.071600
      0.982435    -14.875700
      1.003346    -14.671600
      1.024258    -14.459600
      1.045169    -14.239800
      1.066081    -14.012600
      1.086992    -13.778200
      1.107903    -13.536900
      1.128815    -13.289000
      1.149726    -13.141900
      1.170638    -13.393000
      1.192818    -13.391600
      1.214998    -13.451400
      1.237177    -13.627900
      1.259357    -13.796500
      1.281537    -13.956700
      1.303717    -14.107700
      1.325897    -14.249200
      1.348077    -14.380700
      1.370257    -14.501900
      1.392437    -14.612500
      1.411448    -14.585000
      1.430460    -14.553200
      1.449471    -14.517000
      1.468482    -14.476600
      1.487494    -14.432300
      1.506505    -14.384100
      1.525516    -14.332500
      1.544528    -14.278000
      1.563539    -14.422000
      1.582551    -14.598400
      1.601562    -14.772700
      1.620573    -14.943800
      1.639585    -15.110800
      1.658596    -15.272900
      1.677607    -15.429600
      1.696619    -15.580500
      1.715630    -15.725200
      1.734641    -15.863300
      1.753653    -15.808300
      1.772664    -15.692200
      1.791675    -15.568300
      1.810687    -15.436600
      1.829698    -15.297200
      1.848710    -15.150400
      1.867721    -14.996200
      1.886732    -14.834700
      1.905744    -14.666200
      1.924755    -14.490800
      1.943766    -14.308700
      1.962778    -14.120100
      1.981789    -13.925100
      2.000800    -13.724200
      2.019812    -13.517500
      2.038823    -13.305400
      2.057834    -13.097500


      0.000000    -14.855800
      0.021732    -14.857800
      0.043464    -14.855400
      0.065195    -14.848400
      0.086927    -14.836700
      0.108659    -14.820100
      0.130391    -14.798300
      0.152123    -14.770800
      0.173854    -14.737400
      0.195586    -14.697700
      0.217318    -14.651300
      0.239050    -14.598000
      0.260782    -14.537700
      0.282513    -14.470100
      0.304245    -14.395300
      0.325977    -14.313000
      0.347709    -14.223200
      0.369440    -14.125800
      0.391172    -14.020900
      0.412904    -13.908400
      0.434636    -13.788500
      0.456368    -13.661300
      0.478099    -13.527300
      0.499831    -13.386700
      0.521563    -13.240300
      0.543295    -13.095500
      0.564206    -13.094900
      0.585118    -13.090600
      0.606029    -13.083700
      0.626941    -13.074200
      0.647852    -13.062600
      0.668763    -13.049400
      0.689675    -13.035100
      0.710586    -13.020300
      0.731498    -13.005800
      0.752409    -12.992300
      0.773321    -12.980600
      0.794232    -12.971300
      0.815143    -12.965100
      0.836055    -12.962200
      0.856966    -12.962800
      0.877878    -12.967000
      0.898789    -12.974500
      0.919701    -12.984800
      0.940612    -12.997400
      0.961523    -13.011500
      0.982435    -13.026500
      1.003346    -13.041500
      1.024258    -13.055800
      1.045169    -13.068900
      1.066081    -13.080100
      1.086992    -13.089000
      1.107903    -13.095400
      1.128815    -13.099000
      1.149726    -13.099400
      1.170638    -13.097300
      1.192818    -13.267900
      1.214998    -13.450800
      1.237177    -13.627200
      1.259357    -13.795800
      1.281537    -13.956000
      1.303717    -14.107000
      1.325897    -14.248500
      1.348077    -14.380000
      1.370257    -14.501100
      1.392437    -14.611700
      1.411448    -14.584300
      1.430460    -14.552400
      1.449471    -14.516200
      1.468482    -14.475900
      1.487494    -14.431500
      1.506505    -14.383300
      1.525516    -14.331800
      1.544528    -14.277700
      1.563539    -14.221100
      1.582551    -14.162400
      1.601562    -14.102700
      1.620573    -14.042800
      1.639585    -13.983500
      1.658596    -13.925700
      1.677607    -13.870200
      1.696619    -13.817900
      1.715630    -13.769100
      1.734641    -13.724300
      1.753653    -13.683400
      1.772664    -13.646300
      1.791675    -13.612500
      1.810687    -13.581200
      1.829698    -13.551600
      1.848710    -13.523000
      1.867721    -13.494300
      1.886732    -13.465000
      1.905744    -13.434100
      1.924755    -13.401200
      1.943766    -13.365700
      1.962778    -13.327300
      1.981789    -13.285800
      2.000800    -13.241200
      2.019812    -13.193400
      2.038823    -13.142600
      2.057834    -13.095500


      0.000000    -14.846900
      0.021732    -14.830100
      0.043464    -14.848800
      0.065195    -14.846300
      0.086927    -14.834900
      0.108659    -14.818500
      0.130391    -14.796700
      0.152123    -14.769300
      0.173854    -14.735900
      0.195586    -14.696200
      0.217318    -14.649900
      0.239050    -14.596600
      0.260782    -14.536300
      0.282513    -14.468800
      0.304245    -14.394000
      0.325977    -14.311800
      0.347709    -14.222000
      0.369440    -14.124700
      0.391172    -14.019800
      0.412904    -13.907300
      0.434636    -13.787400
      0.456368    -13.660300
      0.478099    -13.526300
      0.499831    -13.385800
      0.521563    -13.239500
      0.543295    -13.095500
      0.564206    -13.094100
      0.585118    -13.089800
      0.606029    -13.082800
      0.626941    -13.073400
      0.647852    -13.061800
      0.668763    -13.048600
      0.689675    -13.034300
      0.710586    -13.019500
      0.731498    -13.005000
      0.752409    -12.991600
      0.773321    -12.979900
      0.794232    -12.970700
      0.815143    -12.964400
      0.836055    -12.961600
      0.856966    -12.962200
      0.877878    -12.966500
      0.898789    -12.974000
      0.919701    -12.984300
      0.940612    -12.996900
      0.961523    -13.011100
      0.982435    -13.026100
      1.003346    -13.041100
      1.024258    -13.055400
      1.045169    -13.068500
      1.066081    -13.079700
      1.086992    -13.088600
      1.107903    -13.095000
      1.128815    -13.098500
      1.149726    -13.099200
      1.170638    -13.096900
      1.192818    -13.267400
      1.214998    -13.386100
      1.237177    -13.377800
      1.259357    -13.369300
      1.281537    -13.364700
      1.303717    -13.369400
      1.325897    -13.389400
      1.348077    -13.430200
      1.370257    -13.494900
      1.392437    -13.584500
      1.411448    -13.506400
      1.430460    -13.477600
      1.449471    -13.514300
      1.468482    -13.609800
      1.487494    -13.744400
      1.506505    -13.901300
      1.525516    -14.070200
      1.544528    -14.244600
      1.563539    -14.220200
      1.582551    -14.161500
      1.601562    -14.101800
      1.620573    -14.041900
      1.639585    -13.982600
      1.658596    -13.924800
      1.677607    -13.869300
      1.696619    -13.816900
      1.715630    -13.768200
      1.734641    -13.723400
      1.753653    -13.682500
      1.772664    -13.645400
      1.791675    -13.611600
      1.810687    -13.580300
      1.829698    -13.550800
      1.848710    -13.522200
      1.867721    -13.493600
      1.886732    -13.464300
      1.905744    -13.433400
      1.924755    -13.400500
      1.943766    -13.365000
      1.962778    -13.326700
      1.981789    -13.285300
      2.000800    -13.240600
      2.019812    -13.192900
      2.038823    -13.142300
      2.057834    -13.095500


      0.000000    -12.185400
      0.021732    -12.195400
      0.043464    -12.184200
      0.065195    -12.165700
      0.086927    -12.136200
      0.108659    -12.096300
      0.130391    -12.047100
      0.152123    -11.990300
      0.173854    -11.928500
      0.195586    -11.864700
      0.217318    -11.802800
      0.239050    -11.748100
      0.260782    -11.706600
      0.282513    -11.685200
      0.304245    -11.690200
      0.325977    -11.726000
      0.347709    -11.793300
      0.369440    -11.889300
      0.391172    -12.008900
      0.412904    -12.146200
      0.434636    -12.295500
      0.456368    -12.452000
      0.478099    -12.612100
      0.499831    -12.772800
      0.521563    -12.932000
      0.543295    -13.081100
      0.564206    -13.079600
      0.585118    -13.075000
      0.606029    -13.067700
      0.626941    -13.057700
      0.647852    -13.045500
      0.668763    -13.031500
      0.689675    -13.016400
      0.710586    -13.000700
      0.731498    -12.985300
      0.752409    -12.970900
      0.773321    -12.958300
      0.794232    -12.948200
      0.815143    -12.941100
      0.836055    -12.937500
      0.856966    -12.937500
      0.877878    -12.941300
      0.898789    -12.948400
      0.919701    -12.958500
      0.940612    -12.971100
      0.961523    -12.985300
      0.982435    -13.000500
      1.003346    -13.015800
      1.024258    -13.030600
      1.045169    -13.044100
      1.066081    -13.055800
      1.086992    -13.065200
      1.107903    -13.072100
      1.128815    -13.076200
      1.149726    -13.077300
      1.170638    -13.075400
      1.192818    -12.899700
      1.214998    -12.768700
      1.237177    -12.762200
      1.259357    -12.751600
      1.281537    -12.734900
      1.303717    -12.708700
      1.325897    -12.669400
      1.348077    -12.613700
      1.370257    -12.540100
      1.392437    -12.448200
      1.411448    -12.522100
      1.430460    -12.552600
      1.449471    -12.521200
      1.468482    -12.431400
      1.487494    -12.300800
      1.506505    -12.144100
      1.525516    -11.969900
      1.544528    -11.783000
      1.563539    -11.826800
      1.582551    -11.895900
      1.601562    -11.961000
      1.620573    -12.021100
      1.639585    -12.075900
      1.658596    -12.124900
      1.677607    -12.168100
      1.696619    -12.206000
      1.715630    -12.239100
      1.734641    -12.268800
      1.753653    -12.296300
      1.772664    -12.323500
      1.791675    -12.352000
      1.810687    -12.383400
      1.829698    -12.419000
      1.848710    -12.459400
      1.867721    -12.504900
      1.886732    -12.555200
      1.905744    -12.609700
      1.924755    -12.667400
      1.943766    -12.727600
      1.962778    -12.789100
      1.981789    -12.851000
      2.000800    -12.912500
      2.019812    -12.972900
      2.038823    -13.031300
      2.057834    -13.081100


      0.000000    -12.183700
      0.021732    -12.189000
      0.043464    -12.182600
      0.065195    -12.164500
      0.086927    -12.135200
      0.108659    -12.095300
      0.130391    -12.046100
      0.152123    -11.989500
      0.173854    -11.927700
      0.195586    -11.863900
      0.217318    -11.802200
      0.239050    -11.747600
      0.260782    -11.706300
      0.282513    -11.685000
      0.304245    -11.690200
      0.325977    -11.726000
      0.347709    -11.793300
      0.369440    -11.889300
      0.391172    -12.008900
      0.412904    -12.146200
      0.434636    -12.295500
      0.456368    -12.452000
      0.478099    -12.612100
      0.499831    -12.772800
      0.521563    -12.932000
      0.543295    -13.081100
      0.564206    -13.077400
      0.585118    -13.072900
      0.606029    -13.065500
      0.626941    -13.055600
      0.647852    -13.043400
