# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.3390
# k_min, k_max      =     0.0000    2.1178
# E_min, E_max      =   -17.5867  137.1841
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -15.357700
      0.022365    -15.315100
      0.044730    -15.322200
      0.067094    -15.377800
      0.089459    -15.473800
      0.111824    -15.598700
      0.134189    -15.742100
      0.156553    -15.895700
      0.178918    -16.053300
      0.201283    -16.211000
      0.223648    -16.365600
      0.246012    -16.515300
      0.268377    -16.658500
      0.290742    -16.794100
      0.313107    -16.921100
      0.335471    -17.038800
      0.357836    -17.146500
      0.380201    -17.243500
      0.402566    -17.329200
      0.424930    -17.403200
      0.447295    -17.465000
      0.469660    -17.514200
      0.492025    -17.550300
      0.514389    -17.573200
      0.536754    -17.584000
      0.559119    -17.586700
      0.580639    -17.584300
      0.602160    -17.575200
      0.623680    -17.555700
      0.645201    -17.524000
      0.666721    -17.479800
      0.688242    -17.423400
      0.709762    -17.355100
      0.731283    -17.275300
      0.752803    -17.184200
      0.774324    -17.082200
      0.795844    -16.969300
      0.817365    -16.846000
      0.838885    -16.712300
      0.860406    -16.568600
      0.881926    -16.656300
      0.903447    -16.794000
      0.924967    -16.921500
      0.946488    -17.038500
      0.968008    -17.144900
      0.989529    -17.240400
      1.011049    -17.324700
      1.032570    -17.397600
      1.054090    -17.458800
      1.075611    -17.507900
      1.097131    -17.544600
      1.118652    -17.568800
      1.140172    -17.581700
      1.161693    -17.586300
      1.183213    -17.585900
      1.204734    -17.579900
      1.227560    -17.575500
      1.250386    -17.561600
      1.273212    -17.535900
      1.296038    -17.497200
      1.318864    -17.445200
      1.341690    -17.380200
      1.364516    -17.302500
      1.387341    -17.212700
      1.410167    -17.111000
      1.432993    -16.998000
      1.452558    -17.041800
      1.472123    -17.077300
      1.491689    -17.104100
      1.511254    -17.122300
      1.530819    -17.131800
      1.550384    -17.132600
      1.569949    -17.124600
      1.589514    -17.107800
      1.609079    -17.082300
      1.628644    -17.048000
      1.648209    -17.005100
      1.667774    -16.953600
      1.687339    -16.893400
      1.706905    -16.824500
      1.726470    -16.746900
      1.746035    -16.660600
      1.765600    -16.565500
      1.785165    -16.461800
      1.804730    -16.494100
      1.824295    -16.627400
      1.843860    -16.753100
      1.863425    -16.870900
      1.882990    -16.980600
      1.902555    -17.081900
      1.922121    -17.174500
      1.941686    -17.258300
      1.961251    -17.333000
      1.980816    -17.398400
      2.000381    -17.454200
      2.019946    -17.500100
      2.039511    -17.536000
      2.059076    -17.561600
      2.078641    -17.577300
      2.098206    -17.584700
      2.117771    -17.586700


      0.000000    -15.301800
      0.022365    -15.305700
      0.044730    -15.305000
      0.067094    -15.299800
      0.089459    -15.289900
      0.111824    -15.275100
      0.134189    -15.255100
      0.156553    -15.229300
      0.178918    -15.197400
      0.201283    -15.159000
      0.223648    -15.113500
      0.246012    -15.060700
      0.268377    -15.000300
      0.290742    -14.932100
      0.313107    -14.856100
      0.335471    -14.772000
      0.357836    -14.679900
      0.380201    -14.579700
      0.402566    -14.471300
      0.424930    -14.354700
      0.447295    -14.230100
      0.469660    -14.097700
      0.492025    -13.957800
      0.514389    -13.810900
      0.536754    -13.657500
      0.559119    -13.498800
      0.580639    -13.763800
      0.602160    -14.023500
      0.623680    -14.276100
      0.645201    -14.521300
      0.666721    -14.758700
      0.688242    -14.988200
      0.709762    -15.209400
      0.731283    -15.422100
      0.752803    -15.626100
      0.774324    -15.821100
      0.795844    -16.007100
      0.817365    -16.183800
      0.838885    -16.351000
      0.860406    -16.508500
      0.881926    -16.414900
      0.903447    -16.251500
      0.924967    -16.078600
      0.946488    -15.896300
      0.968008    -15.704800
      0.989529    -15.504400
      1.011049    -15.295100
      1.032570    -15.077300
      1.054090    -14.851100
      1.075611    -14.616800
      1.097131    -14.374600
      1.118652    -14.124900
      1.140172    -13.868000
      1.161693    -13.604300
      1.183213    -13.658600
      1.204734    -13.921000
      1.227560    -13.918100
      1.250386    -13.910400
      1.273212    -14.072600
      1.296038    -14.248500
      1.318864    -14.415200
      1.341690    -14.572200
      1.364516    -14.719000
      1.387341    -14.855000
      1.410167    -14.980000
      1.432993    -15.093600
      1.452558    -15.067700
      1.472123    -15.036900
      1.491689    -15.001400
      1.511254    -14.961000
      1.530819    -14.916100
      1.550384    -14.866800
      1.569949    -14.813400
      1.589514    -14.756400
      1.609079    -14.819000
      1.628644    -15.005600
      1.648209    -15.190500
      1.667774    -15.372400
      1.687339    -15.550000
